step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.359740,0.000000,0.000000,0.010395,3.493446,0.408925,0
1,0.358206,0.000000,0.000000,0.010315,3.478913,0.408366,0
2,0.356683,0.000000,0.000000,0.010239,3.464443,0.407808,0
3,0.355170,0.000000,0.000000,0.010166,3.450036,0.407251,0
4,0.353655,0.000000,0.000000,0.010086,3.435691,0.406695,0
5,0.352154,0.000000,0.000000,0.010014,3.421407,0.406140,0
6,0.350660,0.000000,0.000000,0.009941,3.407186,0.405586,0
7,0.349167,0.000000,0.000000,0.009865,3.393026,0.405034,0
8,0.347685,0.000000,0.000000,0.009792,3.378926,0.404483,0
9,0.346205,0.000000,0.000000,0.009716,3.364888,0.403933,0
10,0.344738,0.000000,0.000000,0.009647,3.350909,0.403384,0
11,0.343278,0.000000,0.000000,0.009579,3.336991,0.402835,0
12,0.341819,0.000000,0.000000,0.009506,3.323133,0.402288,0
13,0.340371,0.000000,0.000000,0.009438,3.309335,0.401743,0
14,0.338928,0.000000,0.000000,0.009369,3.295596,0.401199,0
15,0.337492,0.000000,0.000000,0.009300,3.281916,0.400656,0
16,0.336061,0.000000,0.000000,0.009232,3.268294,0.400114,0
17,0.334636,0.000000,0.000000,0.009163,3.254731,0.399573,0
18,0.333221,0.000000,0.000000,0.009098,3.241227,0.399033,0
19,0.331804,0.000000,0.000000,0.009026,3.227780,0.398494,0
20,0.330404,0.000000,0.000000,0.008965,3.214391,0.397957,0
21,0.329010,0.000000,0.000000,0.008904,3.201060,0.397421,0
22,0.327610,0.000000,0.000000,0.008831,3.187785,0.396885,0
23,0.326227,0.000000,0.000000,0.008770,3.174568,0.396350,0
24,0.324846,0.000000,0.000000,0.008705,3.161407,0.395817,0
25,0.323474,0.000000,0.000000,0.008644,3.148302,0.395287,0
26,0.322108,0.000000,0.000000,0.008583,3.135254,0.394755,0
27,0.320748,0.000000,0.000000,0.008522,3.122262,0.394226,0
28,0.319390,0.000000,0.000000,0.008457,3.109325,0.393698,0
29,0.318040,0.000000,0.000000,0.008396,3.096443,0.393169,0
30,0.316701,0.000000,0.000000,0.008339,3.083616,0.392643,0
31,0.315362,0.000000,0.000000,0.008278,3.070845,0.392118,0
32,0.314030,0.000000,0.000000,0.008217,3.058128,0.391594,0
33,0.312710,0.000000,0.000000,0.008163,3.045465,0.391071,0
34,0.311396,0.000000,0.000000,0.008110,3.032856,0.390549,0
35,0.310075,0.000000,0.000000,0.008045,3.020302,0.390030,0
36,0.308768,0.000000,0.000000,0.007988,3.007801,0.389509,0
37,0.307470,0.000000,0.000000,0.007935,2.995353,0.388990,0
38,0.306169,0.000000,0.000000,0.007874,2.982958,0.388473,0
39,0.304878,0.000000,0.000000,0.007816,2.970616,0.387956,0
40,0.303596,0.000000,0.000000,0.007763,2.958327,0.387442,0
41,0.302318,0.000000,0.000000,0.007710,2.946090,0.386927,0
42,0.301047,0.000000,0.000000,0.007656,2.933905,0.386414,0
43,0.299780,0.000000,0.000000,0.007603,2.921772,0.385901,0
44,0.298522,0.000000,0.000000,0.007553,2.909691,0.385390,0
45,0.297258,0.000000,0.000000,0.007492,2.897661,0.384881,0
46,0.296011,0.000000,0.000000,0.007442,2.885682,0.384371,0
47,0.294768,0.000000,0.000000,0.007393,2.873754,0.383863,0
48,0.293527,0.000000,0.000000,0.007339,2.861877,0.383357,0
49,0.292295,0.000000,0.000000,0.007290,2.850051,0.382851,0
50,0.291064,0.000000,0.000000,0.007236,2.838275,0.382347,0
51,0.289842,0.000000,0.000000,0.007187,2.826549,0.381843,0
52,0.288625,0.000000,0.000000,0.007137,2.814873,0.381340,0
53,0.287412,0.000000,0.000000,0.007088,2.803246,0.380838,0
54,0.286209,0.000000,0.000000,0.007042,2.791669,0.380338,0
55,0.285006,0.000000,0.000000,0.006992,2.780141,0.379837,0
56,0.283809,0.000000,0.000000,0.006943,2.768662,0.379339,0
57,0.282616,0.000000,0.000000,0.006893,2.757231,0.378842,0
58,0.281432,0.000000,0.000000,0.006847,2.745849,0.378346,0
59,0.280253,0.000000,0.000000,0.006802,2.734515,0.377850,0
60,0.279079,0.000000,0.000000,0.006756,2.723228,0.377356,0
61,0.277905,0.000000,0.000000,0.006706,2.711991,0.376864,0
62,0.276741,0.000000,0.000000,0.006660,2.700801,0.376371,0
63,0.275584,0.000000,0.000000,0.006618,2.689658,0.375880,0
64,0.274425,0.000000,0.000000,0.006569,2.678562,0.375389,0
65,0.273278,0.000000,0.000000,0.006527,2.667513,0.374900,0
66,0.272136,0.000000,0.000000,0.006485,2.656511,0.374412,0
67,0.270991,0.000000,0.000000,0.006435,2.645556,0.373925,0
68,0.269858,0.000000,0.000000,0.006393,2.634647,0.373438,0
69,0.268730,0.000000,0.000000,0.006351,2.623784,0.372954,0
70,0.267606,0.000000,0.000000,0.006310,2.612967,0.372470,0
71,0.266483,0.000000,0.000000,0.006264,2.602195,0.371987,0
72,0.265373,0.000000,0.000000,0.006226,2.591470,0.371504,0
