step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.055778,0.000000,0.000000,0.002380,0.533980,0.295437,90
1,0.048415,0.000000,0.000000,0.002327,0.460877,0.274804,90
2,0.048213,0.000000,0.000000,0.002317,0.458954,0.274550,90
3,0.048008,0.000000,0.000000,0.002304,0.457039,0.274298,90
4,0.047806,0.000000,0.000000,0.002293,0.455132,0.274045,90
5,0.047606,0.000000,0.000000,0.002283,0.453233,0.273793,90
6,0.047408,0.000000,0.000000,0.002274,0.451342,0.273541,90
7,0.047206,0.000000,0.000000,0.002260,0.449459,0.273290,90
8,0.047011,0.000000,0.000000,0.002253,0.447585,0.273040,90
9,0.046813,0.000000,0.000000,0.002241,0.445718,0.272790,90
10,0.046614,0.000000,0.000000,0.002228,0.443859,0.272541,90
11,0.046421,0.000000,0.000000,0.002220,0.442008,0.272292,90
12,0.046225,0.000000,0.000000,0.002209,0.440165,0.272044,90
13,0.046032,0.000000,0.000000,0.002199,0.438330,0.271796,90
14,0.045840,0.000000,0.000000,0.002190,0.436502,0.271549,90
15,0.045646,0.000000,0.000000,0.002178,0.434683,0.271303,90
16,0.045456,0.000000,0.000000,0.002169,0.432871,0.271057,90
17,0.045266,0.000000,0.000000,0.002159,0.431066,0.270811,90
18,0.045075,0.000000,0.000000,0.002148,0.429270,0.270567,90
19,0.044886,0.000000,0.000000,0.002138,0.427480,0.270322,90
20,0.044698,0.000000,0.000000,0.002129,0.425699,0.270078,90
21,0.044512,0.000000,0.000000,0.002119,0.423925,0.269835,90
22,0.044322,0.000000,0.000000,0.002106,0.422158,0.269592,90
23,0.044142,0.000000,0.000000,0.002102,0.420399,0.269350,90
24,0.043953,0.000000,0.000000,0.002089,0.418648,0.269109,90
25,0.043773,0.000000,0.000000,0.002083,0.416904,0.268868,90
26,0.043588,0.000000,0.000000,0.002071,0.415167,0.268627,90
27,0.043404,0.000000,0.000000,0.002060,0.413438,0.268387,90
28,0.043226,0.000000,0.000000,0.002054,0.411716,0.268148,90
29,0.043045,0.000000,0.000000,0.002045,0.410001,0.267908,90
30,0.042863,0.000000,0.000000,0.002033,0.408294,0.267671,90
31,0.042685,0.000000,0.000000,0.002026,0.406593,0.267432,90
32,0.042502,0.000000,0.000000,0.002012,0.404900,0.267195,90
33,0.042328,0.000000,0.000000,0.002007,0.403214,0.266958,90
34,0.042149,0.000000,0.000000,0.001995,0.401535,0.266722,90
35,0.041976,0.000000,0.000000,0.001989,0.399864,0.266486,90
36,0.041798,0.000000,0.000000,0.001978,0.398199,0.266251,90
37,0.041624,0.000000,0.000000,0.001970,0.396542,0.266016,90
38,0.041450,0.000000,0.000000,0.001961,0.394891,0.265782,90
39,0.041278,0.000000,0.000000,0.001953,0.393247,0.265548,90
40,0.041103,0.000000,0.000000,0.001942,0.391610,0.265315,90
41,0.040932,0.000000,0.000000,0.001934,0.389981,0.265083,90
42,0.040762,0.000000,0.000000,0.001926,0.388358,0.264850,90
43,0.040593,0.000000,0.000000,0.001919,0.386742,0.264619,90
44,0.040421,0.000000,0.000000,0.001907,0.385133,0.264388,90
45,0.040253,0.000000,0.000000,0.001900,0.383530,0.264157,90
46,0.040084,0.000000,0.000000,0.001890,0.381935,0.263927,90
47,0.039919,0.000000,0.000000,0.001884,0.380346,0.263698,90
48,0.039751,0.000000,0.000000,0.001875,0.378764,0.263468,90
49,0.039584,0.000000,0.000000,0.001865,0.377188,0.263240,90
50,0.039422,0.000000,0.000000,0.001860,0.375619,0.263011,90
51,0.036287,0.000000,0.000000,0.001829,0.344582,0.259643,90
52,0.036138,0.000000,0.000000,0.001823,0.343146,0.259422,90
53,0.035986,0.000000,0.000000,0.001814,0.341716,0.259201,90
54,0.035837,0.000000,0.000000,0.001808,0.340293,0.258981,90
55,0.035688,0.000000,0.000000,0.001801,0.338875,0.258762,90
56,0.035537,0.000000,0.000000,0.001791,0.337463,0.258542,90
57,0.035387,0.000000,0.000000,0.001781,0.336058,0.258324,90
58,0.035242,0.000000,0.000000,0.001776,0.334658,0.258106,90
59,0.035096,0.000000,0.000000,0.001770,0.333264,0.257888,90
60,0.034950,0.000000,0.000000,0.001762,0.331876,0.257671,90
61,0.034802,0.000000,0.000000,0.001753,0.330494,0.257454,90
62,0.034659,0.000000,0.000000,0.001747,0.329118,0.257237,90
63,0.034514,0.000000,0.000000,0.001740,0.327748,0.257022,90
64,0.034370,0.000000,0.000000,0.001732,0.326383,0.256807,90
65,0.034227,0.000000,0.000000,0.001724,0.325024,0.256592,90
66,0.034084,0.000000,0.000000,0.001717,0.323671,0.256377,90
67,0.033941,0.000000,0.000000,0.001709,0.322323,0.256163,90
68,0.033800,0.000000,0.000000,0.001701,0.320982,0.255950,90
69,0.033658,0.000000,0.000000,0.001694,0.319646,0.255737,90
70,0.033518,0.000000,0.000000,0.001686,0.318315,0.255524,90
71,0.033379,0.000000,0.000000,0.001680,0.316990,0.255312,90
72,0.033240,0.000000,0.000000,0.001673,0.315671,0.255101,90
73,0.033103,0.000000,0.000000,0.001667,0.314357,0.254890,90
74,0.032964,0.000000,0.000000,0.001659,0.313049,0.254679,90
75,0.032828,0.000000,0.000000,0.001654,0.311746,0.254469,90
76,0.032689,0.000000,0.000000,0.001644,0.310449,0.254259,90
77,0.032556,0.000000,0.000000,0.001640,0.309157,0.254050,90
78,0.032420,0.000000,0.000000,0.001633,0.307871,0.253841,90
79,0.032284,0.000000,0.000000,0.001625,0.306590,0.253633,90
80,0.032151,0.000000,0.000000,0.001619,0.305315,0.253425,90
81,0.032018,0.000000,0.000000,0.001614,0.304045,0.253218,90
82,0.031884,0.000000,0.000000,0.001606,0.302780,0.253011,90
83,0.031749,0.000000,0.000000,0.001596,0.301521,0.252805,90
84,0.031617,0.000000,0.000000,0.001591,0.300266,0.252598,90
85,0.031487,0.000000,0.000000,0.001585,0.299018,0.252393,90
86,0.031357,0.000000,0.000000,0.001579,0.297774,0.252188,90
87,0.031227,0.000000,0.000000,0.001574,0.296536,0.251983,90
88,0.031098,0.000000,0.000000,0.001568,0.295302,0.251779,90
89,0.030968,0.000000,0.000000,0.001560,0.294074,0.251575,90
90,0.030842,0.000000,0.000000,0.001556,0.292852,0.251372,90
91,0.030712,0.000000,0.000000,0.001549,0.291634,0.251169,90
92,0.030583,0.000000,0.000000,0.001541,0.290421,0.250967,90
93,0.030455,0.000000,0.000000,0.001534,0.289214,0.250765,90
94,0.030327,0.000000,0.000000,0.001526,0.288012,0.250563,90
95,0.030204,0.000000,0.000000,0.001522,0.286814,0.250363,90
96,0.030080,0.000000,0.000000,0.001518,0.285622,0.250162,90
97,0.029954,0.000000,0.000000,0.001511,0.284435,0.249961,90
98,0.029828,0.000000,0.000000,0.001503,0.283253,0.249762,90
99,0.029705,0.000000,0.000000,0.001497,0.282075,0.249562,90
100,0.029582,0.000000,0.000000,0.001492,0.280903,0.249363,90
101,0.028086,0.000000,0.000000,0.001478,0.266076,0.242150,90
102,0.027969,0.000000,0.000000,0.001472,0.264969,0.241972,90
103,0.027853,0.000000,0.000000,0.001467,0.263867,0.241794,90
104,0.027738,0.000000,0.000000,0.001461,0.262769,0.241618,90
105,0.027621,0.000000,0.000000,0.001453,0.261676,0.241441,90
106,0.027508,0.000000,0.000000,0.001450,0.260588,0.241265,90
107,0.027394,0.000000,0.000000,0.001444,0.259504,0.241089,90
108,0.027281,0.000000,0.000000,0.001438,0.258425,0.240913,90
109,0.027167,0.000000,0.000000,0.001432,0.257350,0.240738,90
110,0.027055,0.000000,0.000000,0.001427,0.256280,0.240562,90
111,0.026942,0.000000,0.000000,0.001421,0.255214,0.240388,90
112,0.026831,0.000000,0.000000,0.001415,0.254153,0.240214,90
113,0.026721,0.000000,0.000000,0.001411,0.253096,0.240041,90
114,0.026608,0.000000,0.000000,0.001404,0.252044,0.239867,90
115,0.026500,0.000000,0.000000,0.001400,0.250996,0.239694,90
116,0.026388,0.000000,0.000000,0.001392,0.249952,0.239520,90
117,0.026280,0.000000,0.000000,0.001389,0.248913,0.239348,90
118,0.026173,0.000000,0.000000,0.001385,0.247878,0.239176,90
119,0.026062,0.000000,0.000000,0.001377,0.246848,0.239005,90
120,0.025955,0.000000,0.000000,0.001373,0.245822,0.238833,90
121,0.025848,0.000000,0.000000,0.001368,0.244800,0.238662,90
122,0.025740,0.000000,0.000000,0.001362,0.243782,0.238491,90
123,0.025635,0.000000,0.000000,0.001358,0.242769,0.238321,90
124,0.025526,0.000000,0.000000,0.001350,0.241760,0.238151,90
125,0.025422,0.000000,0.000000,0.001347,0.240755,0.237981,90
126,0.025318,0.000000,0.000000,0.001343,0.239755,0.237812,90
127,0.025211,0.000000,0.000000,0.001335,0.238758,0.237643,90
128,0.025108,0.000000,0.000000,0.001331,0.237766,0.237474,90
129,0.025005,0.000000,0.000000,0.001328,0.236778,0.237306,90
130,0.024901,0.000000,0.000000,0.001322,0.235794,0.237138,90
131,0.024798,0.000000,0.000000,0.001316,0.234814,0.236971,90
132,0.024696,0.000000,0.000000,0.001312,0.233839,0.236803,90
133,0.024591,0.000000,0.000000,0.001305,0.232867,0.236636,90
134,0.024489,0.000000,0.000000,0.001299,0.231900,0.236469,90
135,0.024391,0.000000,0.000000,0.001297,0.230936,0.236303,90
136,0.024287,0.000000,0.000000,0.001289,0.229977,0.236138,90
137,0.024188,0.000000,0.000000,0.001286,0.229022,0.235972,90
138,0.024089,0.000000,0.000000,0.001282,0.228070,0.235806,90
139,0.023988,0.000000,0.000000,0.001276,0.227123,0.235641,90
140,0.023890,0.000000,0.000000,0.001272,0.226179,0.235477,90
141,0.023792,0.000000,0.000000,0.001268,0.225240,0.235313,90
