step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.010040,0.000000,0.000000,0.010040,3.367808,0.392882,60
1,0.009037,0.000000,0.000000,0.009037,3.291654,0.385262,60
2,0.009018,0.000000,0.000000,0.009018,3.291154,0.385248,60
3,0.009003,0.000000,0.000000,0.009003,3.290655,0.385234,60
4,0.008987,0.000000,0.000000,0.008987,3.290157,0.385219,60
5,0.008968,0.000000,0.000000,0.008968,3.289660,0.385205,60
6,0.008957,0.000000,0.000000,0.008957,3.289164,0.385191,60
7,0.008942,0.000000,0.000000,0.008942,3.288668,0.385176,60
8,0.008919,0.000000,0.000000,0.008919,3.288174,0.385162,60
9,0.008911,0.000000,0.000000,0.008911,3.287681,0.385148,60
10,0.008892,0.000000,0.000000,0.008892,3.287187,0.385134,60
11,0.008877,0.000000,0.000000,0.008877,3.286695,0.385120,60
12,0.008858,0.000000,0.000000,0.008858,3.286204,0.385105,60
13,0.008842,0.000000,0.000000,0.008842,3.285714,0.385091,60
14,0.008827,0.000000,0.000000,0.008827,3.285225,0.385078,60
15,0.008812,0.000000,0.000000,0.008812,3.284737,0.385062,60
16,0.008797,0.000000,0.000000,0.008797,3.284249,0.385049,60
17,0.008781,0.000000,0.000000,0.008781,3.283762,0.385035,60
18,0.008766,0.000000,0.000000,0.008766,3.283276,0.385021,60
19,0.008751,0.000000,0.000000,0.008751,3.282791,0.385006,60
20,0.008736,0.000000,0.000000,0.008736,3.282307,0.384992,60
21,0.008720,0.000000,0.000000,0.008720,3.281824,0.384979,60
22,0.008705,0.000000,0.000000,0.008705,3.281341,0.384965,60
23,0.008690,0.000000,0.000000,0.008690,3.280860,0.384950,60
24,0.008675,0.000000,0.000000,0.008675,3.280379,0.384937,60
25,0.008656,0.000000,0.000000,0.008656,3.279899,0.384923,60
26,0.008644,0.000000,0.000000,0.008644,3.279420,0.384909,60
27,0.008629,0.000000,0.000000,0.008629,3.278941,0.384895,60
28,0.008617,0.000000,0.000000,0.008617,3.278464,0.384881,60
29,0.008598,0.000000,0.000000,0.008598,3.277986,0.384866,60
30,0.008583,0.000000,0.000000,0.008583,3.277511,0.384853,60
31,0.008572,0.000000,0.000000,0.008572,3.277036,0.384839,60
32,0.008553,0.000000,0.000000,0.008553,3.276561,0.384825,60
33,0.008541,0.000000,0.000000,0.008541,3.276087,0.384811,60
34,0.008530,0.000000,0.000000,0.008530,3.275614,0.384797,60
35,0.008511,0.000000,0.000000,0.008511,3.275143,0.384784,60
36,0.008499,0.000000,0.000000,0.008499,3.274672,0.384769,60
37,0.008480,0.000000,0.000000,0.008480,3.274202,0.384756,60
38,0.008469,0.000000,0.000000,0.008469,3.273732,0.384742,60
39,0.008453,0.000000,0.000000,0.008453,3.273263,0.384728,60
40,0.008434,0.000000,0.000000,0.008434,3.272795,0.384714,60
41,0.008427,0.000000,0.000000,0.008427,3.272329,0.384701,60
42,0.008408,0.000000,0.000000,0.008408,3.271862,0.384686,60
43,0.008392,0.000000,0.000000,0.008392,3.271396,0.384672,60
44,0.008381,0.000000,0.000000,0.008381,3.270931,0.384659,60
45,0.008369,0.000000,0.000000,0.008369,3.270468,0.384646,60
46,0.008354,0.000000,0.000000,0.008354,3.270005,0.384631,60
47,0.008335,0.000000,0.000000,0.008335,3.269542,0.384618,60
48,0.008324,0.000000,0.000000,0.008324,3.269081,0.384604,60
49,0.008312,0.000000,0.000000,0.008312,3.268620,0.384591,60
50,0.008293,0.000000,0.000000,0.008293,3.268160,0.384577,60
51,0.008240,0.000000,0.000000,0.008240,3.130841,0.377076,60
52,0.008221,0.000000,0.000000,0.008221,3.130389,0.377064,60
53,0.008209,0.000000,0.000000,0.008209,3.129939,0.377052,60
54,0.008190,0.000000,0.000000,0.008190,3.129488,0.377040,60
55,0.008179,0.000000,0.000000,0.008179,3.129039,0.377027,60
56,0.008167,0.000000,0.000000,0.008167,3.128590,0.377015,60
57,0.008152,0.000000,0.000000,0.008152,3.128142,0.377003,60
58,0.008141,0.000000,0.000000,0.008141,3.127695,0.376991,60
59,0.008121,0.000000,0.000000,0.008121,3.127249,0.376979,60
60,0.008110,0.000000,0.000000,0.008110,3.126803,0.376966,60
61,0.008095,0.000000,0.000000,0.008095,3.126359,0.376954,60
62,0.008087,0.000000,0.000000,0.008087,3.125914,0.376943,60
63,0.008072,0.000000,0.000000,0.008072,3.125471,0.376930,60
64,0.008057,0.000000,0.000000,0.008057,3.125028,0.376919,60
65,0.008041,0.000000,0.000000,0.008041,3.124586,0.376906,60
66,0.008034,0.000000,0.000000,0.008034,3.124145,0.376894,60
67,0.008015,0.000000,0.000000,0.008015,3.123704,0.376882,60
68,0.008003,0.000000,0.000000,0.008003,3.123264,0.376870,60
69,0.007992,0.000000,0.000000,0.007992,3.122825,0.376858,60
70,0.007973,0.000000,0.000000,0.007973,3.122386,0.376846,60
71,0.007965,0.000000,0.000000,0.007965,3.121949,0.376835,60
72,0.007954,0.000000,0.000000,0.007954,3.121512,0.376823,60
73,0.007938,0.000000,0.000000,0.007938,3.121076,0.376812,60
74,0.007927,0.000000,0.000000,0.007927,3.120640,0.376799,60
75,0.007915,0.000000,0.000000,0.007915,3.120205,0.376787,60
76,0.007900,0.000000,0.000000,0.007900,3.119771,0.376775,60
77,0.007885,0.000000,0.000000,0.007885,3.119338,0.376763,60
78,0.007874,0.000000,0.000000,0.007874,3.118905,0.376751,60
79,0.007858,0.000000,0.000000,0.007858,3.118473,0.376739,60
80,0.007851,0.000000,0.000000,0.007851,3.118041,0.376728,60
81,0.007835,0.000000,0.000000,0.007835,3.117610,0.376716,60
82,0.007820,0.000000,0.000000,0.007820,3.117181,0.376703,60
83,0.007812,0.000000,0.000000,0.007812,3.116751,0.376692,60
84,0.007797,0.000000,0.000000,0.007797,3.116323,0.376680,60
85,0.007782,0.000000,0.000000,0.007782,3.115895,0.376668,60
86,0.007774,0.000000,0.000000,0.007774,3.115468,0.376657,60
87,0.007759,0.000000,0.000000,0.007759,3.115041,0.376644,60
88,0.007748,0.000000,0.000000,0.007748,3.114615,0.376633,60
89,0.007736,0.000000,0.000000,0.007736,3.114190,0.376621,60
90,0.007721,0.000000,0.000000,0.007721,3.113766,0.376609,60
91,0.007706,0.000000,0.000000,0.007706,3.113342,0.376598,60
92,0.007698,0.000000,0.000000,0.007698,3.112919,0.376585,60
93,0.007679,0.000000,0.000000,0.007679,3.112496,0.376574,60
94,0.007668,0.000000,0.000000,0.007668,3.112075,0.376563,60
95,0.007660,0.000000,0.000000,0.007660,3.111653,0.376551,60
96,0.007645,0.000000,0.000000,0.007645,3.111233,0.376539,60
97,0.007633,0.000000,0.000000,0.007633,3.110813,0.376527,60
98,0.007622,0.000000,0.000000,0.007622,3.110394,0.376516,60
99,0.007610,0.000000,0.000000,0.007610,3.109976,0.376504,60
100,0.007599,0.000000,0.000000,0.007599,3.109558,0.376492,60
101,0.007538,0.000000,0.000000,0.007538,3.020192,0.375868,60
102,0.007523,0.000000,0.000000,0.007523,3.019782,0.375857,60
103,0.007507,0.000000,0.000000,0.007507,3.019373,0.375846,60
104,0.007496,0.000000,0.000000,0.007496,3.018964,0.375835,60
105,0.007484,0.000000,0.000000,0.007484,3.018556,0.375824,60
106,0.007469,0.000000,0.000000,0.007469,3.018148,0.375814,60
107,0.007462,0.000000,0.000000,0.007462,3.017741,0.375803,60
108,0.007446,0.000000,0.000000,0.007446,3.017335,0.375792,60
109,0.007435,0.000000,0.000000,0.007435,3.016929,0.375782,60
110,0.007427,0.000000,0.000000,0.007427,3.016523,0.375771,60
111,0.007416,0.000000,0.000000,0.007416,3.016119,0.375761,60
112,0.007401,0.000000,0.000000,0.007401,3.015715,0.375750,60
113,0.007385,0.000000,0.000000,0.007385,3.015313,0.375739,60
114,0.007378,0.000000,0.000000,0.007378,3.014910,0.375728,60
115,0.007370,0.000000,0.000000,0.007370,3.014508,0.375718,60
116,0.007359,0.000000,0.000000,0.007359,3.014107,0.375707,60
117,0.007347,0.000000,0.000000,0.007347,3.013706,0.375697,60
118,0.007328,0.000000,0.000000,0.007328,3.013306,0.375686,60
