step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.052920,0.000000,0.000000,0.004301,0.486187,0.369844,90
1,0.047619,0.000000,0.000000,0.004124,0.434952,0.364391,90
2,0.047408,0.000000,0.000000,0.004101,0.433073,0.364027,90
3,0.047200,0.000000,0.000000,0.004080,0.431204,0.363664,90
4,0.046991,0.000000,0.000000,0.004057,0.429343,0.363300,90
5,0.046781,0.000000,0.000000,0.004032,0.427490,0.362939,90
6,0.046578,0.000000,0.000000,0.004013,0.425646,0.362577,90
7,0.046371,0.000000,0.000000,0.003990,0.423809,0.362217,90
8,0.046167,0.000000,0.000000,0.003969,0.421981,0.361858,90
9,0.045962,0.000000,0.000000,0.003946,0.420162,0.361500,90
10,0.045760,0.000000,0.000000,0.003925,0.418350,0.361142,90
11,0.045557,0.000000,0.000000,0.003902,0.416547,0.360786,90
12,0.045358,0.000000,0.000000,0.003883,0.414751,0.360430,90
13,0.045157,0.000000,0.000000,0.003860,0.412964,0.360075,90
14,0.044958,0.000000,0.000000,0.003839,0.411185,0.359722,90
15,0.044760,0.000000,0.000000,0.003819,0.409414,0.359369,90
16,0.044564,0.000000,0.000000,0.003799,0.407650,0.359017,90
17,0.044366,0.000000,0.000000,0.003777,0.405895,0.358666,90
18,0.044172,0.000000,0.000000,0.003757,0.404147,0.358315,90
19,0.043975,0.000000,0.000000,0.003735,0.402407,0.357965,90
20,0.043783,0.000000,0.000000,0.003716,0.400675,0.357617,90
21,0.043592,0.000000,0.000000,0.003696,0.398951,0.357269,90
22,0.043401,0.000000,0.000000,0.003677,0.397235,0.356921,90
23,0.043211,0.000000,0.000000,0.003658,0.395526,0.356576,90
24,0.043020,0.000000,0.000000,0.003637,0.393825,0.356231,90
25,0.042833,0.000000,0.000000,0.003620,0.392131,0.355886,90
26,0.042642,0.000000,0.000000,0.003597,0.390445,0.355543,90
27,0.042459,0.000000,0.000000,0.003582,0.388766,0.355200,90
28,0.042269,0.000000,0.000000,0.003559,0.387095,0.354858,90
29,0.042083,0.000000,0.000000,0.003540,0.385432,0.354517,90
30,0.041900,0.000000,0.000000,0.003523,0.383775,0.354177,90
31,0.041716,0.000000,0.000000,0.003504,0.382127,0.353838,90
32,0.041535,0.000000,0.000000,0.003487,0.380485,0.353499,90
33,0.041353,0.000000,0.000000,0.003468,0.378851,0.353162,90
34,0.041171,0.000000,0.000000,0.003448,0.377224,0.352825,90
35,0.040992,0.000000,0.000000,0.003431,0.375605,0.352489,90
36,0.040813,0.000000,0.000000,0.003414,0.373992,0.352154,90
37,0.040634,0.000000,0.000000,0.003395,0.372387,0.351820,90
38,0.040455,0.000000,0.000000,0.003376,0.370789,0.351486,90
39,0.040277,0.000000,0.000000,0.003357,0.369198,0.351153,90
40,0.040103,0.000000,0.000000,0.003342,0.367614,0.350822,90
41,0.039930,0.000000,0.000000,0.003326,0.366037,0.350490,90
42,0.039754,0.000000,0.000000,0.003307,0.364467,0.350159,90
43,0.039582,0.000000,0.000000,0.003292,0.362904,0.349830,90
44,0.039410,0.000000,0.000000,0.003275,0.361348,0.349502,90
45,0.039238,0.000000,0.000000,0.003258,0.359799,0.349174,90
46,0.039066,0.000000,0.000000,0.003241,0.358256,0.348847,90
47,0.038895,0.000000,0.000000,0.003223,0.356721,0.348520,90
48,0.038725,0.000000,0.000000,0.003206,0.355192,0.348195,90
49,0.038556,0.000000,0.000000,0.003189,0.353670,0.347870,90
50,0.038389,0.000000,0.000000,0.003174,0.352155,0.347546,90
51,0.035463,0.000000,0.000000,0.003063,0.323993,0.341017,90
52,0.035308,0.000000,0.000000,0.003048,0.322603,0.340711,90
53,0.035155,0.000000,0.000000,0.003033,0.321219,0.340407,90
54,0.035002,0.000000,0.000000,0.003017,0.319842,0.340103,90
55,0.034853,0.000000,0.000000,0.003006,0.318470,0.339800,90
56,0.034701,0.000000,0.000000,0.002991,0.317105,0.339497,90
57,0.034548,0.000000,0.000000,0.002974,0.315745,0.339195,90
58,0.034399,0.000000,0.000000,0.002960,0.314392,0.338894,90
59,0.034249,0.000000,0.000000,0.002945,0.313044,0.338594,90
60,0.034102,0.000000,0.000000,0.002932,0.311702,0.338295,90
61,0.033955,0.000000,0.000000,0.002918,0.310367,0.337996,90
62,0.033809,0.000000,0.000000,0.002905,0.309037,0.337697,90
63,0.033663,0.000000,0.000000,0.002892,0.307713,0.337400,90
64,0.033516,0.000000,0.000000,0.002876,0.306395,0.337103,90
65,0.033371,0.000000,0.000000,0.002863,0.305083,0.336808,90
66,0.033227,0.000000,0.000000,0.002850,0.303777,0.336512,90
67,0.033082,0.000000,0.000000,0.002834,0.302476,0.336217,90
68,0.032941,0.000000,0.000000,0.002823,0.301181,0.335924,90
69,0.032797,0.000000,0.000000,0.002808,0.299892,0.335630,90
70,0.032655,0.000000,0.000000,0.002794,0.298608,0.335338,90
71,0.032514,0.000000,0.000000,0.002781,0.297330,0.335046,90
72,0.032373,0.000000,0.000000,0.002768,0.296058,0.334754,90
73,0.032233,0.000000,0.000000,0.002754,0.294791,0.334464,90
74,0.032092,0.000000,0.000000,0.002739,0.293530,0.334174,90
75,0.031955,0.000000,0.000000,0.002728,0.292274,0.333885,90
76,0.031817,0.000000,0.000000,0.002714,0.291024,0.333597,90
77,0.031683,0.000000,0.000000,0.002705,0.289780,0.333309,90
78,0.031545,0.000000,0.000000,0.002691,0.288541,0.333022,90
79,0.031409,0.000000,0.000000,0.002678,0.287307,0.332736,90
80,0.031271,0.000000,0.000000,0.002663,0.286079,0.332451,90
81,0.031141,0.000000,0.000000,0.002655,0.284856,0.332165,90
82,0.031004,0.000000,0.000000,0.002640,0.283638,0.331881,90
83,0.030869,0.000000,0.000000,0.002626,0.282426,0.331596,90
84,0.030739,0.000000,0.000000,0.002617,0.281219,0.331313,90
85,0.030607,0.000000,0.000000,0.002605,0.280018,0.331031,90
86,0.030472,0.000000,0.000000,0.002590,0.278821,0.330750,90
87,0.030346,0.000000,0.000000,0.002583,0.277630,0.330469,90
88,0.030212,0.000000,0.000000,0.002567,0.276444,0.330188,90
89,0.030080,0.000000,0.000000,0.002554,0.275264,0.329909,90
90,0.029953,0.000000,0.000000,0.002544,0.274088,0.329630,90
91,0.029825,0.000000,0.000000,0.002533,0.272918,0.329351,90
92,0.029695,0.000000,0.000000,0.002520,0.271753,0.329074,90
93,0.029569,0.000000,0.000000,0.002510,0.270593,0.328796,90
94,0.029440,0.000000,0.000000,0.002497,0.269438,0.328519,90
95,0.029318,0.000000,0.000000,0.002489,0.268288,0.328243,90
96,0.029190,0.000000,0.000000,0.002476,0.267143,0.327968,90
97,0.029065,0.000000,0.000000,0.002464,0.266003,0.327694,90
98,0.028940,0.000000,0.000000,0.002453,0.264868,0.327420,90
99,0.028813,0.000000,0.000000,0.002439,0.263738,0.327147,90
100,0.028691,0.000000,0.000000,0.002430,0.262613,0.326873,90
101,0.026912,0.000000,0.000000,0.002073,0.248391,0.327674,90
102,0.026796,0.000000,0.000000,0.002062,0.247339,0.327405,90
103,0.026685,0.000000,0.000000,0.002056,0.246292,0.327137,90
104,0.026570,0.000000,0.000000,0.002045,0.245249,0.326871,90
105,0.026458,0.000000,0.000000,0.002037,0.244210,0.326604,90
106,0.026345,0.000000,0.000000,0.002028,0.243177,0.326338,90
107,0.026235,0.000000,0.000000,0.002020,0.242147,0.326073,90
108,0.026121,0.000000,0.000000,0.002008,0.241122,0.325809,90
109,0.026011,0.000000,0.000000,0.002001,0.240102,0.325544,90
110,0.025902,0.000000,0.000000,0.001993,0.239086,0.325281,90
111,0.025793,0.000000,0.000000,0.001986,0.238074,0.325017,90
112,0.025683,0.000000,0.000000,0.001976,0.237067,0.324756,90
113,0.025575,0.000000,0.000000,0.001968,0.236064,0.324494,90
114,0.025465,0.000000,0.000000,0.001959,0.235065,0.324233,90
115,0.025358,0.000000,0.000000,0.001951,0.234070,0.323973,90
116,0.025250,0.000000,0.000000,0.001942,0.233080,0.323713,90
117,0.025147,0.000000,0.000000,0.001938,0.232094,0.323453,90
118,0.025038,0.000000,0.000000,0.001926,0.231113,0.323195,90
119,0.024934,0.000000,0.000000,0.001921,0.230135,0.322937,90
120,0.024827,0.000000,0.000000,0.001911,0.229162,0.322680,90
121,0.024721,0.000000,0.000000,0.001902,0.228193,0.322423,90
122,0.024619,0.000000,0.000000,0.001896,0.227228,0.322167,90
123,0.024513,0.000000,0.000000,0.001886,0.226268,0.321911,90
124,0.024408,0.000000,0.000000,0.001877,0.225311,0.321656,90
125,0.024309,0.000000,0.000000,0.001873,0.224359,0.321401,90
126,0.024203,0.000000,0.000000,0.001862,0.223411,0.321147,90
127,0.024101,0.000000,0.000000,0.001854,0.222466,0.320894,90
128,0.024001,0.000000,0.000000,0.001848,0.221526,0.320641,90
129,0.023898,0.000000,0.000000,0.001839,0.220590,0.320389,90
130,0.023797,0.000000,0.000000,0.001831,0.219658,0.320138,90
131,0.023696,0.000000,0.000000,0.001823,0.218730,0.319886,90
132,0.023596,0.000000,0.000000,0.001816,0.217806,0.319636,90
133,0.023497,0.000000,0.000000,0.001808,0.216885,0.319386,90
134,0.023397,0.000000,0.000000,0.001801,0.215969,0.319138,90
135,0.023301,0.000000,0.000000,0.001795,0.215057,0.318889,90
136,0.023200,0.000000,0.000000,0.001785,0.214149,0.318641,90
137,0.023104,0.000000,0.000000,0.001780,0.213244,0.318393,90
138,0.023006,0.000000,0.000000,0.001772,0.212343,0.318146,90
139,0.022911,0.000000,0.000000,0.001766,0.211447,0.317900,90
140,0.022814,0.000000,0.000000,0.001759,0.210554,0.317654,90
141,0.022717,0.000000,0.000000,0.001751,0.209665,0.317409,90
142,0.022621,0.000000,0.000000,0.001743,0.208780,0.317165,90
143,0.022527,0.000000,0.000000,0.001738,0.207898,0.316920,90
144,0.022430,0.000000,0.000000,0.001728,0.207021,0.316676,90
145,0.022339,0.000000,0.000000,0.001724,0.206147,0.316433,90
146,0.022242,0.000000,0.000000,0.001715,0.205277,0.316191,90
147,0.022150,0.000000,0.000000,0.001709,0.204410,0.315948,90
