step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.346821,0.000000,0.000000,0.010040,3.367808,0.392354,90
1,0.337171,0.000000,0.000000,0.009232,3.279389,0.385177,90
2,0.335737,0.000000,0.000000,0.009159,3.265777,0.384650,90
3,0.334317,0.000000,0.000000,0.009094,3.252224,0.384126,90
4,0.332898,0.000000,0.000000,0.009026,3.238729,0.383603,90
5,0.331494,0.000000,0.000000,0.008965,3.225292,0.383080,90
6,0.330087,0.000000,0.000000,0.008896,3.211912,0.382560,90
7,0.328694,0.000000,0.000000,0.008835,3.198591,0.382039,90
8,0.327306,0.000000,0.000000,0.008774,3.185325,0.381521,90
9,0.325913,0.000000,0.000000,0.008701,3.172118,0.381003,90
10,0.324537,0.000000,0.000000,0.008640,3.158967,0.380486,90
11,0.323170,0.000000,0.000000,0.008583,3.145871,0.379972,90
12,0.321801,0.000000,0.000000,0.008518,3.132832,0.379457,90
13,0.320442,0.000000,0.000000,0.008457,3.119849,0.378943,90
14,0.319088,0.000000,0.000000,0.008396,3.106921,0.378431,90
15,0.317748,0.000000,0.000000,0.008343,3.094049,0.377920,90
16,0.316401,0.000000,0.000000,0.008278,3.081232,0.377410,90
17,0.315068,0.000000,0.000000,0.008221,3.068469,0.376900,90
18,0.313736,0.000000,0.000000,0.008160,3.055761,0.376394,90
19,0.312413,0.000000,0.000000,0.008102,3.043107,0.375886,90
20,0.311096,0.000000,0.000000,0.008045,3.030508,0.375380,90
21,0.309784,0.000000,0.000000,0.007988,3.017962,0.374876,90
22,0.308474,0.000000,0.000000,0.007927,3.005470,0.374373,90
23,0.307177,0.000000,0.000000,0.007874,2.993030,0.373870,90
24,0.305885,0.000000,0.000000,0.007820,2.980645,0.373369,90
25,0.304598,0.000000,0.000000,0.007767,2.968311,0.372868,90
26,0.303309,0.000000,0.000000,0.007706,2.956031,0.372369,90
27,0.302033,0.000000,0.000000,0.007652,2.943803,0.371870,90
28,0.300765,0.000000,0.000000,0.007603,2.931627,0.371374,90
29,0.299503,0.000000,0.000000,0.007553,2.919502,0.370878,90
30,0.298235,0.000000,0.000000,0.007492,2.907429,0.370381,90
31,0.296983,0.000000,0.000000,0.007442,2.895408,0.369888,90
32,0.295733,0.000000,0.000000,0.007389,2.883438,0.369395,90
33,0.294491,0.000000,0.000000,0.007339,2.871520,0.368903,90
34,0.293255,0.000000,0.000000,0.007290,2.859651,0.368412,90
35,0.292020,0.000000,0.000000,0.007236,2.847833,0.367923,90
36,0.290793,0.000000,0.000000,0.007187,2.836065,0.367433,90
37,0.289572,0.000000,0.000000,0.007137,2.824347,0.366946,90
38,0.288356,0.000000,0.000000,0.007088,2.812680,0.366459,90
39,0.287148,0.000000,0.000000,0.007042,2.801062,0.365973,90
40,0.285942,0.000000,0.000000,0.006992,2.789492,0.365488,90
41,0.284740,0.000000,0.000000,0.006943,2.777972,0.365005,90
42,0.283543,0.000000,0.000000,0.006893,2.766502,0.364523,90
43,0.282355,0.000000,0.000000,0.006847,2.755079,0.364040,90
44,0.281168,0.000000,0.000000,0.006798,2.743705,0.363560,90
45,0.279994,0.000000,0.000000,0.006756,2.732380,0.363081,90
46,0.278820,0.000000,0.000000,0.006710,2.721102,0.362602,90
47,0.277648,0.000000,0.000000,0.006660,2.709872,0.362124,90
48,0.276484,0.000000,0.000000,0.006615,2.698690,0.361647,90
49,0.275328,0.000000,0.000000,0.006573,2.687555,0.361172,90
50,0.274174,0.000000,0.000000,0.006527,2.676467,0.360697,90
51,0.265510,0.000000,0.000000,0.006447,2.590627,0.356688,90
52,0.264402,0.000000,0.000000,0.006409,2.579936,0.356224,90
53,0.263296,0.000000,0.000000,0.006367,2.569290,0.355761,90
54,0.262194,0.000000,0.000000,0.006325,2.558690,0.355298,90
55,0.261092,0.000000,0.000000,0.006279,2.548133,0.354838,90
56,0.259999,0.000000,0.000000,0.006237,2.537622,0.354378,90
57,0.258911,0.000000,0.000000,0.006195,2.527155,0.353919,90
58,0.257830,0.000000,0.000000,0.006157,2.516733,0.353460,90
59,0.256750,0.000000,0.000000,0.006115,2.506355,0.353003,90
60,0.255675,0.000000,0.000000,0.006073,2.496020,0.352546,90
61,0.254604,0.000000,0.000000,0.006031,2.485730,0.352091,90
62,0.253541,0.000000,0.000000,0.005993,2.475482,0.351637,90
63,0.252479,0.000000,0.000000,0.005951,2.465278,0.351184,90
64,0.251424,0.000000,0.000000,0.005913,2.455117,0.350731,90
65,0.250375,0.000000,0.000000,0.005875,2.444999,0.350279,90
66,0.249329,0.000000,0.000000,0.005836,2.434924,0.349828,90
67,0.248287,0.000000,0.000000,0.005798,2.424891,0.349379,90
68,0.247246,0.000000,0.000000,0.005756,2.414901,0.348930,90
69,0.246213,0.000000,0.000000,0.005718,2.404953,0.348482,90
70,0.245189,0.000000,0.000000,0.005684,2.395046,0.348035,90
71,0.244164,0.000000,0.000000,0.005646,2.385181,0.347589,90
72,0.243140,0.000000,0.000000,0.005604,2.375359,0.347145,90
73,0.242131,0.000000,0.000000,0.005573,2.365577,0.346701,90
74,0.241115,0.000000,0.000000,0.005531,2.355837,0.346257,90
75,0.240114,0.000000,0.000000,0.005501,2.346137,0.345815,90
76,0.239111,0.000000,0.000000,0.005463,2.336479,0.345373,90
77,0.238114,0.000000,0.000000,0.005428,2.326861,0.344932,90
78,0.237119,0.000000,0.000000,0.005390,2.317284,0.344494,90
79,0.236130,0.000000,0.000000,0.005356,2.307746,0.344055,90
80,0.235143,0.000000,0.000000,0.005318,2.298250,0.343618,90
81,0.234166,0.000000,0.000000,0.005287,2.288793,0.343181,90
82,0.233190,0.000000,0.000000,0.005253,2.279376,0.342744,90
83,0.232218,0.000000,0.000000,0.005219,2.269998,0.342310,90
84,0.231254,0.000000,0.000000,0.005188,2.260660,0.341876,90
85,0.230286,0.000000,0.000000,0.005150,2.251361,0.341443,90
86,0.229326,0.000000,0.000000,0.005116,2.242102,0.341012,90
87,0.228373,0.000000,0.000000,0.005085,2.232881,0.340579,90
88,0.227424,0.000000,0.000000,0.005054,2.223699,0.340149,90
89,0.226476,0.000000,0.000000,0.005020,2.214555,0.339719,90
90,0.225535,0.000000,0.000000,0.004990,2.205450,0.339291,90
91,0.224597,0.000000,0.000000,0.004959,2.196383,0.338863,90
92,0.223656,0.000000,0.000000,0.004921,2.187354,0.338437,90
93,0.222727,0.000000,0.000000,0.004890,2.178363,0.338010,90
94,0.221801,0.000000,0.000000,0.004860,2.169411,0.337585,90
95,0.220879,0.000000,0.000000,0.004829,2.160495,0.337161,90
96,0.219961,0.000000,0.000000,0.004799,2.151617,0.336738,90
97,0.219046,0.000000,0.000000,0.004768,2.142776,0.336316,90
98,0.218135,0.000000,0.000000,0.004738,2.133972,0.335893,90
99,0.217228,0.000000,0.000000,0.004707,2.125205,0.335473,90
100,0.216324,0.000000,0.000000,0.004677,2.116474,0.335053,90
101,0.211779,0.000000,0.000000,0.004627,2.071518,0.332189,90
102,0.210898,0.000000,0.000000,0.004597,2.063008,0.331764,90
103,0.210023,0.000000,0.000000,0.004570,2.054534,0.331342,90
104,0.209149,0.000000,0.000000,0.004539,2.046095,0.330919,90
105,0.208278,0.000000,0.000000,0.004509,2.037692,0.330498,90
106,0.207422,0.000000,0.000000,0.004490,2.029324,0.330078,90
