step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.352106,0.000000,0.000000,0.012756,3.393492,0.415579,60
1,0.332518,0.000000,0.000000,0.012604,3.199141,0.390150,60
2,0.331072,0.000000,0.000000,0.012505,3.185674,0.389614,60
3,0.329640,0.000000,0.000000,0.012413,3.172268,0.389080,60
4,0.328206,0.000000,0.000000,0.012314,3.158920,0.388545,60
5,0.326785,0.000000,0.000000,0.012222,3.145631,0.388014,60
6,0.325367,0.000000,0.000000,0.012127,3.132401,0.387482,60
7,0.323954,0.000000,0.000000,0.012032,3.119229,0.386952,60
8,0.322559,0.000000,0.000000,0.011948,3.106116,0.386422,60
9,0.321162,0.000000,0.000000,0.011856,3.093060,0.385895,60
10,0.319771,0.000000,0.000000,0.011765,3.080061,0.385368,60
11,0.318389,0.000000,0.000000,0.011677,3.067120,0.384842,60
12,0.317013,0.000000,0.000000,0.011589,3.054236,0.384317,60
13,0.315642,0.000000,0.000000,0.011501,3.041409,0.383794,60
14,0.314277,0.000000,0.000000,0.011414,3.028638,0.383271,60
15,0.312922,0.000000,0.000000,0.011330,3.015923,0.382750,60
16,0.311572,0.000000,0.000000,0.011246,3.003263,0.382229,60
17,0.310228,0.000000,0.000000,0.011162,2.990659,0.381710,60
18,0.308893,0.000000,0.000000,0.011082,2.978111,0.381192,60
19,0.307560,0.000000,0.000000,0.010998,2.965619,0.380676,60
20,0.306236,0.000000,0.000000,0.010918,2.953180,0.380159,60
21,0.304913,0.000000,0.000000,0.010834,2.940797,0.379644,60
22,0.303604,0.000000,0.000000,0.010757,2.928466,0.379130,60
23,0.302293,0.000000,0.000000,0.010674,2.916191,0.378618,60
24,0.300994,0.000000,0.000000,0.010597,2.903969,0.378107,60
25,0.299697,0.000000,0.000000,0.010517,2.891800,0.377597,60
26,0.298409,0.000000,0.000000,0.010441,2.879685,0.377087,60
27,0.297127,0.000000,0.000000,0.010365,2.867623,0.376579,60
28,0.295850,0.000000,0.000000,0.010288,2.855613,0.376071,60
29,0.294578,0.000000,0.000000,0.010212,2.843656,0.375565,60
30,0.293315,0.000000,0.000000,0.010139,2.831751,0.375060,60
31,0.292053,0.000000,0.000000,0.010063,2.819898,0.374556,60
32,0.290804,0.000000,0.000000,0.009995,2.808096,0.374053,60
33,0.289557,0.000000,0.000000,0.009922,2.796346,0.373551,60
34,0.288314,0.000000,0.000000,0.009850,2.784647,0.373050,60
35,0.287073,0.000000,0.000000,0.009773,2.773000,0.372551,60
36,0.285845,0.000000,0.000000,0.009705,2.761403,0.372051,60
37,0.284621,0.000000,0.000000,0.009636,2.749856,0.371554,60
38,0.283407,0.000000,0.000000,0.009571,2.738359,0.371057,60
39,0.282190,0.000000,0.000000,0.009499,2.726912,0.370562,60
40,0.280982,0.000000,0.000000,0.009430,2.715516,0.370068,60
41,0.279778,0.000000,0.000000,0.009361,2.704169,0.369574,60
42,0.278580,0.000000,0.000000,0.009293,2.692871,0.369082,60
43,0.277394,0.000000,0.000000,0.009232,2.681622,0.368590,60
44,0.276205,0.000000,0.000000,0.009163,2.670422,0.368100,60
45,0.275029,0.000000,0.000000,0.009102,2.659270,0.367611,60
46,0.273850,0.000000,0.000000,0.009033,2.648167,0.367122,60
47,0.272680,0.000000,0.000000,0.008968,2.637112,0.366635,60
48,0.271514,0.000000,0.000000,0.008904,2.626105,0.366149,60
49,0.270357,0.000000,0.000000,0.008842,2.615145,0.365664,60
50,0.269205,0.000000,0.000000,0.008781,2.604233,0.365180,60
51,0.263313,0.000000,0.000000,0.008713,2.546006,0.355661,60
52,0.262193,0.000000,0.000000,0.008656,2.535379,0.355181,60
53,0.261071,0.000000,0.000000,0.008591,2.524799,0.354703,60
54,0.259956,0.000000,0.000000,0.008530,2.514264,0.354226,60
55,0.258850,0.000000,0.000000,0.008472,2.503775,0.353751,60
56,0.257748,0.000000,0.000000,0.008415,2.493330,0.353276,60
57,0.256647,0.000000,0.000000,0.008354,2.482932,0.352802,60
58,0.255551,0.000000,0.000000,0.008293,2.472578,0.352329,60
59,0.254467,0.000000,0.000000,0.008240,2.462269,0.351858,60
60,0.253383,0.000000,0.000000,0.008183,2.452004,0.351387,60
61,0.252296,0.000000,0.000000,0.008118,2.441784,0.350918,60
62,0.251229,0.000000,0.000000,0.008068,2.431607,0.350449,60
63,0.250162,0.000000,0.000000,0.008015,2.421475,0.349981,60
64,0.249096,0.000000,0.000000,0.007957,2.411386,0.349515,60
65,0.248038,0.000000,0.000000,0.007904,2.401341,0.349050,60
66,0.246981,0.000000,0.000000,0.007847,2.391339,0.348585,60
67,0.245928,0.000000,0.000000,0.007790,2.381381,0.348122,60
68,0.244886,0.000000,0.000000,0.007740,2.371464,0.347660,60
69,0.243842,0.000000,0.000000,0.007683,2.361591,0.347200,60
70,0.242813,0.000000,0.000000,0.007637,2.351760,0.346739,60
71,0.241777,0.000000,0.000000,0.007580,2.341971,0.346280,60
72,0.240753,0.000000,0.000000,0.007530,2.332226,0.345822,60
73,0.239729,0.000000,0.000000,0.007477,2.322521,0.345365,60
74,0.238713,0.000000,0.000000,0.007427,2.312858,0.344909,60
75,0.237701,0.000000,0.000000,0.007378,2.303237,0.344454,60
76,0.236694,0.000000,0.000000,0.007328,2.293657,0.344001,60
77,0.235690,0.000000,0.000000,0.007278,2.284118,0.343547,60
78,0.234691,0.000000,0.000000,0.007229,2.274621,0.343095,60
79,0.233696,0.000000,0.000000,0.007179,2.265163,0.342644,60
80,0.232708,0.000000,0.000000,0.007133,2.255747,0.342194,60
81,0.231717,0.000000,0.000000,0.007080,2.246371,0.341746,60
82,0.230738,0.000000,0.000000,0.007034,2.237034,0.341298,60
83,0.229759,0.000000,0.000000,0.006985,2.227738,0.340851,60
84,0.228791,0.000000,0.000000,0.006943,2.218482,0.340405,60
85,0.227824,0.000000,0.000000,0.006897,2.209266,0.339960,60
86,0.226860,0.000000,0.000000,0.006851,2.200089,0.339516,60
87,0.225901,0.000000,0.000000,0.006805,2.190951,0.339073,60
88,0.224945,0.000000,0.000000,0.006760,2.181853,0.338632,60
89,0.223993,0.000000,0.000000,0.006714,2.172793,0.338190,60
90,0.223045,0.000000,0.000000,0.006668,2.163772,0.337750,60
91,0.222101,0.000000,0.000000,0.006622,2.154790,0.337311,60
92,0.221169,0.000000,0.000000,0.006584,2.145846,0.336873,60
93,0.220232,0.000000,0.000000,0.006538,2.136940,0.336436,60
94,0.219300,0.000000,0.000000,0.006493,2.128072,0.336000,60
95,0.218379,0.000000,0.000000,0.006454,2.119242,0.335565,60
96,0.217454,0.000000,0.000000,0.006409,2.110450,0.335131,60
97,0.216540,0.000000,0.000000,0.006371,2.101696,0.334698,60
98,0.215623,0.000000,0.000000,0.006325,2.092978,0.334266,60
99,0.214713,0.000000,0.000000,0.006283,2.084298,0.333835,60
100,0.213806,0.000000,0.000000,0.006241,2.075655,0.333404,60
101,0.205416,0.000000,0.000000,0.006104,1.993124,0.328594,60
102,0.204555,0.000000,0.000000,0.006069,1.984856,0.328177,60
103,0.203690,0.000000,0.000000,0.006027,1.976626,0.327761,60
104,0.202832,0.000000,0.000000,0.005989,1.968429,0.327345,60
105,0.201970,0.000000,0.000000,0.005943,1.960268,0.326931,60
106,0.201127,0.000000,0.000000,0.005913,1.952141,0.326517,60
107,0.200280,0.000000,0.000000,0.005875,1.944049,0.326105,60
108,0.199436,0.000000,0.000000,0.005836,1.935991,0.325693,60
109,0.198591,0.000000,0.000000,0.005795,1.927968,0.325282,60
110,0.197754,0.000000,0.000000,0.005756,1.919979,0.324872,60
111,0.196928,0.000000,0.000000,0.005726,1.912024,0.324463,60
112,0.196098,0.000000,0.000000,0.005688,1.904102,0.324055,60
113,0.195275,0.000000,0.000000,0.005653,1.896214,0.323647,60
114,0.194451,0.000000,0.000000,0.005615,1.888360,0.323241,60
115,0.193631,0.000000,0.000000,0.005577,1.880540,0.322836,60
116,0.192818,0.000000,0.000000,0.005543,1.872752,0.322430,60
117,0.192004,0.000000,0.000000,0.005505,1.864998,0.322027,60
118,0.191198,0.000000,0.000000,0.005470,1.857276,0.321624,60
119,0.190398,0.000000,0.000000,0.005440,1.849587,0.321222,60
120,0.189595,0.000000,0.000000,0.005402,1.841931,0.320821,60
121,0.188798,0.000000,0.000000,0.005367,1.834308,0.320420,60
122,0.188012,0.000000,0.000000,0.005341,1.826716,0.320021,60
123,0.187218,0.000000,0.000000,0.005302,1.819157,0.319623,60
124,0.186431,0.000000,0.000000,0.005268,1.811630,0.319225,60
125,0.185655,0.000000,0.000000,0.005241,1.804135,0.318828,60
126,0.184870,0.000000,0.000000,0.005203,1.796672,0.318433,60
127,0.184097,0.000000,0.000000,0.005173,1.789240,0.318037,60
128,0.183322,0.000000,0.000000,0.005138,1.781840,0.317644,60
129,0.182551,0.000000,0.000000,0.005104,1.774471,0.317250,60
130,0.181791,0.000000,0.000000,0.005077,1.767134,0.316857,60
131,0.181026,0.000000,0.000000,0.005043,1.759827,0.316466,60
132,0.180268,0.000000,0.000000,0.005013,1.752551,0.316075,60
133,0.179513,0.000000,0.000000,0.004982,1.745306,0.315685,60
134,0.178761,0.000000,0.000000,0.004951,1.738092,0.315296,60
135,0.178012,0.000000,0.000000,0.004921,1.730909,0.314908,60
136,0.177266,0.000000,0.000000,0.004890,1.723755,0.314520,60
137,0.176527,0.000000,0.000000,0.004864,1.716632,0.314134,60
138,0.175783,0.000000,0.000000,0.004829,1.709539,0.313748,60
139,0.175047,0.000000,0.000000,0.004799,1.702477,0.313363,60
140,0.174313,0.000000,0.000000,0.004768,1.695444,0.312980,60
141,0.173589,0.000000,0.000000,0.004745,1.688440,0.312596,60
142,0.172862,0.000000,0.000000,0.004715,1.681466,0.312214,60
143,0.172137,0.000000,0.000000,0.004684,1.674522,0.311832,60
